"Source:","C:\Users\dinod\OneDrive\Documents\KiCad\TPA3116 amplifier\TPA3116 amplifier.kicad_sch"
"Date:","1.10.2023. 15:49:13"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","4","C1, C2, C3, C4","0.68","Device:C","","~","","","","","",""
"2","6","C5, C10, C21, C22, C27, C29","1n","Device:C","","~","","","","","",""
"3","3","C6, C11, C14","0.1u","Device:C","","~","","","","","",""
"4","2","C7, C8","470u","Device:C","","~","","","","","",""
"5","1","C9","1u","Device:C","","~","","","","","",""
"6","2","C12, C13","470u","Device:C_Polarized","","~","","","","","",""
"7","4","C15, C16, C17, C18","0.22","Device:C","","~","","","","","",""
"8","4","C19, C20, C26, C28","0.68u","Device:C","","~","","","","","",""
"9","4","C23, C24, C25, C30","10n","Device:C","","~","","","","","",""
"10","1","IC1","TPA3116D2DADR","SamacSys_Parts:TPA3116D2DADR","SOP65P810X120-33N","http://www.ti.com/lit/gpn/tpa3116d2","","1.2","Texas Instruments","TPA3116D2DADR","595-TPA3116D2DADR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPA3116D2DADR?qs=3AcK5DacLbpIP1YDOj0hAg%3D%3D"
"11","1","J1","Conn_01x02_Pin","Connector:Conn_01x02_Pin","","~","","","","","",""
"12","1","JP1","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","","~","","","","","",""
"13","4","L1, L2, L3, L4","10u","Device:L","","~","","","","","",""
"14","1","R1","5.6K","Device:R","","~","","","","","",""
"15","2","R2, R3","100k","Device:R","","~","","","","","",""
"16","1","R4","1k","Device:R","","~","","","","","",""
"17","5","R5, R6, R7, R8, R9","3.3","Device:R","","~","","","","","",""
